id,recipe_name,recipe_url,servings,total_cost_est,price_per_person,protein_grams_est,protein_tag,sodium_tag,sat_fat_tag,diet_tags,ingredients,ingredients_json,directions
29,Live Well Recipe: Spaghetti Squash Boats,https://www.aces.edu/blog/topics/home-family/live-well-recipe-spaghetti-squash-boats/,4,2.55,0.64,24,med,low,low,"dairy-free, gluten-free","2 medium spaghetti squash | 3 tablespoons olive oil, plus more for drizzling | Salt and pepper to taste | 1 yellow onion, diced | ½ teaspoon garlic powder | 1 ½ pounds ground turkey sausage | 4 cups kale, torn into bite-sized pieces with stems removed","[{""ingredient"": ""spaghetti squash"", ""quantity"": ""2"", ""unit"": ""medium""}, {""ingredient"": ""olive oil"", ""quantity"": ""3"", ""unit"": ""tablespoons""}, {""ingredient"": ""pepper"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""onion"", ""quantity"": ""1"", ""unit"": ""yellow""}, {""ingredient"": ""garlic"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""turkey"", ""quantity"": ""1"", ""unit"": null}, {""ingredient"": ""kale"", ""quantity"": ""4"", ""unit"": ""cup""}]","Preheat oven to 400 degrees F. | Microwave squash for a few minutes until it becomes softer and easier to cut. | Cut squash in half lengthwise and scoop out seeds. | Place squash halves cut side up on a baking sheet. Top with a drizzle of olive oil, salt, and pepper. Roast in oven for 45 to 50 minutes until fork tender. Let cool. | In a large skillet, heat 3 tablespoons olive oil over medium heat. Add onion and garlic powder and cook for 5 minutes. Add sausage and cook for 10 to 12 minutes, stirring regularly, until sausage is brown and cooked through. Add kale, stir, and cook for a few more minutes until wilted. Remove skillet from heat and set aside. | Use fork to scrape inside of cooled spaghetti squash and shred it into strands. Add spaghetti squash strands to skillet and stir to combine with sausage and kale. | Spoon mixture into squash shells for serving."
30,Live Well Recipe: Squash and Corn Chowder,https://www.aces.edu/blog/topics/home-family/live-well-recipe-squash-and-corn-chowder/,4,3.05,0.76,8,low,high,high,gluten-free,"2 tablespoons butter | 3 medium yellow squash, chopped | 2 cans corn, rinsed and drained | 1 bunch scallions (green onions), sliced with white and green parts separated | ½ cup celery, chopped | 2 teaspoons salt | 2 cups low fat milk | 1 cup low sodium chicken broth | 1 cup golden potatoes, chopped | ½ cup shredded cheese","[{""ingredient"": ""butter"", ""quantity"": ""2"", ""unit"": ""tablespoons""}, {""ingredient"": ""yellow squash"", ""quantity"": ""3"", ""unit"": ""medium""}, {""ingredient"": ""corn"", ""quantity"": ""2"", ""unit"": ""cans""}, {""ingredient"": ""scallions"", ""quantity"": ""1"", ""unit"": ""bunch""}, {""ingredient"": ""½ cup celery"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""salt"", ""quantity"": ""2"", ""unit"": ""teaspoons""}, {""ingredient"": ""milk"", ""quantity"": ""2"", ""unit"": ""cup""}, {""ingredient"": ""chicken broth"", ""quantity"": ""1"", ""unit"": ""cup""}, {""ingredient"": ""potato"", ""quantity"": ""1"", ""unit"": ""cup""}, {""ingredient"": ""cheese"", ""quantity"": null, ""unit"": null}]","Melt butter in large pot over medium heat. | Add squash, corn, scallion whites, celery, and salt. Cook for 15 minutes, stirring occasionally. | Add milk, broth, and potatoes. Increase heat to high and bring to boil, then reduce heat to low and simmer for 10 minutes until potatoes are tender. | To thicken chowder, use a blender to puree 2 cups of mixture. Return blended mixture to pot and stir to combine. | Top with green scallions and cheese to serve."
31,Live Well Recipe: Street Corn Tacos,https://www.aces.edu/blog/topics/by-ingredients/live-well-recipe-street-corn-tacos/,6,2.0,0.33,8,low,low,low,"vegetarian, dairy-free",corn | onion | pepper | salt | tortilla,"[{""ingredient"": ""corn"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""onion"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""pepper"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""salt"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""tortilla"", ""quantity"": null, ""unit"": null}]","In a small bowl, mix onion, jalapeño to taste, juice from 2 lime wedges, and a pinch of salt. Set aside | In a second bowl, mix sour cream, ½ teaspoon chili powder, juice from 1 lime wedge, and pinch of salt and pepper. | Pat corn dry with paper towel. Heat skillet to medium and add corn. Cook without mixing until browned on bottom, 5 minutes. If corn pops, cover pan. Remove corn from skillet and set aside. | Spray skillet with cooking spray and return to medium heat. Cook pork until browned; add taco seasoning and ¼ cup water. Cook until water is absorbed, about 3 minutes. | Fill tortillas with pork and corn. Top tacos with sour cream mixture and onion and jalapeño mixture. Serve and enjoy."
32,Live Well Recipe: Stuffed Bell Peppers with Ground Venison,https://www.aces.edu/blog/topics/home-family/live-well-recipe-stuffed-bell-peppers-with-ground-venison/,4,3.85,0.96,8,low,high,med,"vegetarian, gluten-free","Cooking spray | 1 pound ground venison | 4 button mushrooms, chopped | 2 ribs celery, sliced thinly | 1 medium onion, chopped | 2 cans petite diced tomatoes with juice, 14.5 ounces | 2 tablespoons concentrated tomato paste | 1 tablespoon garlic powder | 2 tablespoons Italian seasoning | 1 teaspoon salt | 1 teaspoon black pepper | 1 tablespoon parsley, dried | 1½ cups cooked long grain rice | 6 bell peppers | 1 cup shredded Monterey Jack cheese","[{""ingredient"": ""cooking spray"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""ground venison"", ""quantity"": ""1"", ""unit"": ""pound""}, {""ingredient"": ""mushrooms"", ""quantity"": ""4"", ""unit"": ""button""}, {""ingredient"": ""celery"", ""quantity"": ""2"", ""unit"": ""ribs""}, {""ingredient"": ""onion"", ""quantity"": ""1"", ""unit"": ""medium""}, {""ingredient"": ""tomato"", ""quantity"": ""2"", ""unit"": ""cans""}, {""ingredient"": ""tomato"", ""quantity"": ""2"", ""unit"": ""tablespoons""}, {""ingredient"": ""garlic"", ""quantity"": ""1"", ""unit"": ""tablespoon""}, {""ingredient"": ""seasoning"", ""quantity"": ""2"", ""unit"": ""tablespoons""}, {""ingredient"": ""salt"", ""quantity"": ""1"", ""unit"": ""teaspoon""}, {""ingredient"": ""pepper"", ""quantity"": ""1"", ""unit"": ""teaspoon""}, {""ingredient"": ""parsley"", ""quantity"": ""1"", ""unit"": ""tablespoon""}, {""ingredient"": ""rice"", ""quantity"": ""1"", ""unit"": null}, {""ingredient"": ""pepper"", ""quantity"": ""6"", ""unit"": ""bell""}, {""ingredient"": ""cheese"", ""quantity"": ""1"", ""unit"": ""cup""}]","Preheat oven to 350 degrees F, and spray large skillet with cooking spray. | In skillet, over medium heat, cook ground venison 5 minutes or until cooked almost through. | Add mushrooms, celery, and onions, and cook until vegetables are tender. | Stir in diced tomatoes, tomato paste, garlic powder, Italian seasoning, salt, pepper, parsley, and cooked rice. Cook for another 5 minutes or until the rice is warmed through. | Cut off tops of peppers and spoon out the ribs and seeds. Rinse. Lightly sprinkle the insides of peppers with salt and place in microwave-safe dish with 1/4 cup water. Cover with plastic wrap and microwave for 5 minutes or until peppers start to soften. | Transfer to 3-quart or 9×13-inch baking dish. Fill peppers with cooked meat and rice mixture. | Sprinkle cheese on top and bake for 20 minutes or until peppers are tender and cheese is melted."
33,Live Well Recipe: Sweet 'n' Savory Skillet,https://www.aces.edu/blog/topics/by-ingredients/live-well-recipe-sweet-n-savory-skillet/,4,2.0,0.5,8,low,low,low,"vegetarian, dairy-free, gluten-free",apple,"[{""ingredient"": ""apple"", ""quantity"": null, ""unit"": null}]","Spray a skillet with cooking spray. | Over medium heat, add apples and sausage. | Cook until apples are soft and sausage is hot."
34,Live Well Recipe: Tasty Tacos,https://www.aces.edu/blog/topics/by-ingredients/live-well-recipe-tasty-tacos/,4,3.85,0.96,40,high,low,med,gluten-free,beans | cheese | chicken | corn | lettuce,"[{""ingredient"": ""beans"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""cheese"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""chicken"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""corn"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""lettuce"", ""quantity"": null, ""unit"": null}]","In a microwave-safe bowl, mix cooked chicken with corn, beans and salsa. | Heat in microwave for 2 minutes. | Spoon mixture into taco shells. | Top with cheese and lettuce. | Squeeze lime juice over the top of each taco and serve with more salsa. | Download the recipe here: Printable Tasty Tacos | Click here to view the USDA Nondiscrimination Statement."
35,Live Well Recipe: Turkey Spinach Wraps,https://www.aces.edu/blog/topics/by-ingredients/live-well-recipe-turkey-spinach-wraps/,4,3.55,0.89,31,high,low,med,standard,cheese | spinach | tortilla | turkey,"[{""ingredient"": ""cheese"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""spinach"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""tortilla"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""turkey"", ""quantity"": null, ""unit"": null}]",Spread cream cheese evenly over each tortilla. | Cover with 3 slices of turkey and enough spinach leaves to cover the turkey. | Top each tortilla with salsa and cheese. | Fold in one end of the tortilla and roll into a wrap. | Download the recipe here: Printable Turkey Spinach Wraps | Click here to view the USDA Nondiscrimination Statement.
36,Live Well Recipe: Weeknight Chicken and Veggies,https://www.aces.edu/blog/topics/by-ingredients/live-well-recipe-weeknight-chicken-and-veggies/,6,2.7,0.45,25,high,low,low,"dairy-free, gluten-free",carrot | chicken | oil | pepper | potato | salt,"[{""ingredient"": ""carrot"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""chicken"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""oil"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""pepper"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""potato"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""salt"", ""quantity"": null, ""unit"": null}]","Mix mayonnaise, ranch dressing, and chicken in gallon-size plastic bag. Refrigerate while preparing other ingredients. | Preheat oven to 400 degrees F. | Spray baking sheet with cooking spray. | Place potatoes and carrots along outer edges of baking sheet, leaving room in the middle for the chicken. Sprinkle olive oil and season with salt and pepper. | Pour bread crumbs into shallow bowl. | Remove chicken from marinade, and remove excess marinade. | Coat chicken in bread crumbs and place on baking sheet with room between pieces. | Bake 25 to 30 minutes, until chicken is no longer pink in the center and the juices run clear. | Once chicken is cooked, turn oven to broil for an additional 3 to 5 minutes."
37,Live Well Recipe: White Chicken Chili,https://www.aces.edu/blog/topics/by-ingredients/live-well-recipe-white-chicken-chili/,6,2.0,0.33,8,low,low,low,"vegetarian, dairy-free, gluten-free",garlic | oil | onion,"[{""ingredient"": ""garlic"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""oil"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""onion"", ""quantity"": null, ""unit"": null}]","In a large pot over medium heat, heat oil, onion, and garlic for 5 minutes. | Add all ingredients except lime and cilantro. Cook 30 minutes. | Top with a squeeze of lime juice and cilantro."
38,Live Well Recipe: Zucchini Boats,https://www.aces.edu/blog/topics/by-ingredients/live-well-recipe-zucchini-boats/,6,2.0,0.33,8,low,low,med,"vegetarian, gluten-free",cheese | onion | pepper | tomato,"[{""ingredient"": ""cheese"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""onion"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""pepper"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""tomato"", ""quantity"": null, ""unit"": null}]","Preheat oven to 425 degrees. | Scoop out pulp/middle of zucchinis and set aside. | In large bowl, combine zucchini pulp/middle with bread crumbs, bacon, black olives, green chili peppers, onion, tomato, and cheese. | Stuff zucchini halves with mixture. Place on baking sheet. | Bake 20 minutes or until tender."
39,Live Well Recipe: Apple Celery Slaw,https://www.aces.edu/blog/topics/by-ingredients/live-well-recipe-apple-celery-slaw/,4,2.0,0.5,8,low,low,low,"vegetarian, dairy-free, gluten-free",apple | oil | sugar,"[{""ingredient"": ""apple"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""oil"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""sugar"", ""quantity"": null, ""unit"": null}]","With a fork, mix the vinegar, sugar and mustard in a large bowl. | Slowly add the oil, mixing until blended. | Add apples, celery and cabbage. | Toss to combine."
40,Live Well Recipe: Balsamic Roasted Turkey Salad,https://www.aces.edu/blog/topics/by-ingredients/live-well-recipe-balsamic-roasted-turkey-salad/,4,4.05,1.01,31,high,low,med,gluten-free,apple | cheese | spinach | tomato | turkey,"[{""ingredient"": ""apple"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""cheese"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""spinach"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""tomato"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""turkey"", ""quantity"": null, ""unit"": null}]","In mixing bowl, whisk together balsamic vinegar and Italian dressing. | Add spinach, Brussels sprouts, turkey, tomato, mozzarella cheese, apple, apricots, and walnuts/pecans (optional). | Toss well to coat all ingredients. | Download the recipe here: Printable Balsamic Roasted Turkey Salad | Click here to view the USDA Nondiscrimination Statement."
41,Live Well Recipe: Chickpea Tomato Salad,https://www.aces.edu/blog/topics/by-ingredients/live-well-recipe-chickpea-tomato-salad/,4,10.0,2.5,10,low,low,low,"vegetarian, dairy-free, gluten-free",,[],Mix all ingredients in bowl. | Chill and serve.
42,Live Well Recipe: Cool Cucumber Salad,https://www.aces.edu/blog/topics/by-ingredients/live-well-recipe-cool-cucumber-salad/,4,10.0,2.5,10,low,low,low,"vegetarian, dairy-free, gluten-free",,[],Mix all ingredients in large bowl. | Chill and serve.
43,"Live Well Recipe: Cucumber, Tomato, and Avocado Salad",https://www.aces.edu/blog/topics/by-ingredients/live-well-recipe-cucumber-tomato-and-avocado-salad/,4,2.0,0.5,8,low,low,low,"vegetarian, dairy-free, gluten-free",cucumber | oil | olive oil | onion | pepper | salt | tomato,"[{""ingredient"": ""cucumber"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""oil"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""olive oil"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""onion"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""pepper"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""salt"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""tomato"", ""quantity"": null, ""unit"": null}]","Mix cucumber, tomatoes, and onion in large bowl. | Toss vegetables with olive oil, lemon juice, salt, and pepper. | Add diced avocado just before serving."
44,Live Well Recipe: Everyday Broccoli Salad,https://www.aces.edu/blog/topics/by-ingredients/live-well-recipe-everyday-broccoli-salad/,4,2.0,0.5,10,low,low,low,"vegetarian, gluten-free",broccoli | onion | yogurt,"[{""ingredient"": ""broccoli"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""onion"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""yogurt"", ""quantity"": null, ""unit"": null}]","In large bowl, combine broccoli, raisins, red onion, sunflower seeds, and bacon bits. | In small bowl, combine plain yogurt and honey. | Stir yogurt and honey mixture into large bowl. Serve immediately or chill."
45,Live Well Recipe: Greek Island Salad,https://www.aces.edu/blog/topics/by-ingredients/live-well-recipe-greek-island-salad/,4,2.35,0.59,8,low,low,low,"vegetarian, dairy-free, gluten-free",beans | cucumber | oil | onion | pepper | seasoning | tomato,"[{""ingredient"": ""beans"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""cucumber"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""oil"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""onion"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""pepper"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""seasoning"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""tomato"", ""quantity"": null, ""unit"": null}]","Combine vinegar, oil, and seasoning in large bowl. | Add beans, artichokes, peppers, cucumber, tomatoes, and onion to bowl and stir. | Chill and serve."
46,Live Well Recipe: Not Your Grandma's Carrot Salad,https://www.aces.edu/blog/topics/by-ingredients/live-well-recipe-not-your-grandmas-carrot-salad/,4,10.0,2.5,10,low,low,low,"vegetarian, dairy-free, gluten-free",,[],Combine all ingredients in medium bowl. | Chill and serve.
47,Live Well Recipe: Pasta and Kale Salad,https://www.aces.edu/blog/topics/by-ingredients/live-well-recipe-pasta-and-kale-salad/,4,10.0,2.5,10,low,low,low,"vegetarian, dairy-free, gluten-free",,[],Toss kale with salad dressing and lemon juice. | Massage kale well with hands for about 2 minutes. It’s OK to squeeze! | Allow kale to sit for an hour in the refrigerator. | Toss other ingredients with kale and serve.
48,Live Well Recipe: Picnic Pasta Salad,https://www.aces.edu/blog/topics/by-ingredients/live-well-recipe-picnic-pasta-salad/,4,10.0,2.5,10,low,low,low,"vegetarian, dairy-free, gluten-free",,[],Mix ingredients in a large bowl. | Chill and serve.
49,Live Well Recipe: Roasted Broccoli Salad with Almonds,https://www.aces.edu/blog/topics/by-ingredients/live-well-recipe-roasted-broccoli-salad-with-almonds/,4,2.9,0.72,8,low,med,low,"vegetarian, dairy-free, gluten-free",broccoli | garlic | oil | onion | orange | soy sauce | spinach,"[{""ingredient"": ""broccoli"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""garlic"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""oil"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""onion"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""orange"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""soy sauce"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""spinach"", ""quantity"": null, ""unit"": null}]","Preheat oven to 400 degrees F. Line a baking sheet with foil. Spray foil with cooking spray. | For the dressing, mix 2 tablespoons of oil, vinegar, soy sauce, orange juice, and garlic powder. Set aside. | Toss broccoli and edamame with remaining oil. Spread broccoli and edamame mixture on baking sheet. | Roast broccoli and edamame for 25 minutes, stirring after 10 minutes. With 5 minutes left, sprinkle sliced almonds over broccoli and roast. Remove from oven and let cool. | Once the broccoli mixture is cooled, put in bowl, and add chow mein noodles, spinach, and sliced green onions. Stir to combine. | Drizzle the dressing and stir until everything is coated. Serve immediately. | Download the recipe here: Printable Roasted Broccoli Salad with Almonds | Click here to view the USDA Nondiscrimination Statement."
50,Live Well Recipe: Warm Brussels Sprouts and Pear Salad,https://www.aces.edu/blog/topics/by-ingredients/live-well-recipe-warm-brussels-sprouts-and-pear-salad/,4,2.0,0.5,8,low,low,low,"vegetarian, dairy-free, gluten-free",berries | oil | olive oil | pepper,"[{""ingredient"": ""berries"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""oil"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""olive oil"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""pepper"", ""quantity"": null, ""unit"": null}]","For the dressing, whisk together olive oil, vinegar, mustard, and pepper until the dressing becomes light and almost creamy. | Spray skillet with cooking spray and heat over medium heat. Add Brussels sprouts and sauté until soft, but still bright green (about 5 minutes). Transfer mixture to bowl. | Add pear and cranberries to wilted Brussels sprouts. Drizzle dressing over salad and toss to combine. | Download the recipe here: Printable Warm Brussels Sprouts and Pear Salad | Click here to view the USDA Nondiscrimination Statement."
51,Live Well Recipe: Fiesta Breakfast Bowl,https://www.aces.edu/blog/topics/by-ingredients/live-well-recipe-fiesta-breakfast-bowl/,4,2.95,0.74,34,high,low,low,"vegetarian, dairy-free, gluten-free",beans | black beans | egg | eggs | pepper | salsa | salt,"[{""ingredient"": ""beans"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""black beans"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""egg"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""eggs"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""pepper"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""salsa"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""salt"", ""quantity"": null, ""unit"": null}]","Spray skillet with cooking spray. Add beaten eggs. | Cook and stir eggs over medium heat until eggs are set, 3 to 5 minutes. | Place black beans in a microwave-safe bowl. Heat in microwave until warm, about 1 minute. | Divide warmed black beans between two bowls. | Top each bowl with scrambled eggs, avocado, and salsa. Season with salt and pepper."
52,Live Well Recipe: Grits and Greens,https://www.aces.edu/blog/topics/by-ingredients/live-well-recipe-grits-and-greens/,4,2.0,0.5,8,low,low,med,"vegetarian, gluten-free",butter | egg | pepper | salt,"[{""ingredient"": ""butter"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""egg"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""pepper"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""salt"", ""quantity"": null, ""unit"": null}]","Pour cooked grits in serving bowl and season with butter, salt and pepper. | In a small skillet, cook the egg to how you like it. | In a microwave-safe bowl, add collard greens and water. Cover tightly and microwave for 2 minutes. Drain water. | Spoon the greens over the grits, then top with the egg. Add hot sauce, if desired. | Download the recipe here: Printable Grits and Greens | Click here to view the USDA Nondiscrimination Statement."
53,Live Well Recipe: Healthier French Toast,https://www.aces.edu/blog/topics/by-ingredients/live-well-recipe-healthier-french-toast/,8,2.0,0.25,8,low,low,low,vegetarian,banana | bread | milk,"[{""ingredient"": ""banana"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""bread"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""milk"", ""quantity"": null, ""unit"": null}]","With fork, mash bananas together with milk, vanilla, and cinnamon. | Spray skillet with cooking spray and turn on medium heat. | Dip one slice of bread at a time in banana mixture. Let excess mixture drip off, and place bread in skillet. | Cook until golden brown, and then gently flip to the other side. | Optional: Top with extra cinnamon. | Download the recipe here: Printable Healthier French Toast | Click here to view the USDA Nondiscrimination Statement."
54,Live Well Recipe: Hearty Egg Burritos,https://www.aces.edu/blog/topics/by-ingredients/live-well-recipe-hearty-egg-burritos/,4,4.1,1.02,33,high,med,med,vegetarian,beans | cheese | egg | eggs | garlic | oil | onion | pepper | salsa | salt | tortilla,"[{""ingredient"": ""beans"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""cheese"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""egg"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""eggs"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""garlic"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""oil"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""onion"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""pepper"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""salsa"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""salt"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""tortilla"", ""quantity"": null, ""unit"": null}]","Heat oil in a skillet over medium heat. Add onion, beans, black pepper, salt and garlic powder. Cook until onion is soft, about 5 minutes. Move beans and veggies to a clean plate or bowl. | Mix eggs in a small bowl with a fork. | Wipe skillet clean with a paper towel. Coat with cooking spray. Heat at medium-low. | Add egg mixture. Cook about 3–5 minutes. Stir often to scramble eggs. | Spoon egg mixture into the center of each tortilla. Add beans and veggies. Sprinkle cheese on top. Add spoonful of salsa. Fold into a burrito. | Download the recipe here: Printable Hearty Egg Burritos | Click here to view the USDA Nondiscrimination Statement."
55,Live Well Recipe: Overnight Oats,https://www.aces.edu/blog/topics/by-ingredients/live-well-recipe-overnight-oats/,4,2.0,0.5,8,low,low,low,"vegetarian, gluten-free",milk | oats,"[{""ingredient"": ""milk"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""oats"", ""quantity"": null, ""unit"": null}]","Mix oats, cinnamon, and raisins together in bowl. | Add milk and stir. | Leave in refrigerator overnight. | Serve the next day. | Download the recipe here: Printable Overnight Oats | Click here to view the USDA Nondiscrimination Statement."
56,Live Well Recipe: Rise and Shine Muffins,https://www.aces.edu/blog/topics/by-ingredients/live-well-recipe-rise-and-shine-muffins/,6,2.95,0.49,25,high,low,med,"vegetarian, gluten-free",cheese | egg | eggs | spinach | tomato,"[{""ingredient"": ""cheese"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""egg"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""eggs"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""spinach"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""tomato"", ""quantity"": null, ""unit"": null}]","Preheat oven to 375 degrees F. Coat 6-cup muffin tin with cooking spray. | Crack and mix eggs in a bowl. | Add spinach, bacon, tomatoes, and cheese to egg mixture. Stir to mix. | Divide egg mixture evenly among muffin tin cups. | Bake for 15 to 18 minutes or until eggs are set. | Serve immediately or store in refrigerator until ready to eat."
57,Live Well Recipe: Southwest Avocado Toast,https://www.aces.edu/blog/topics/by-ingredients/live-well-recipe-southwest-avocado-toast/,8,2.45,0.31,8,low,low,low,"vegetarian, dairy-free",beans | bread | corn | onion | pepper | salt | tomato,"[{""ingredient"": ""beans"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""bread"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""corn"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""onion"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""pepper"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""salt"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""tomato"", ""quantity"": null, ""unit"": null}]","Cut avocado in half, remove pit, and scoop out inside. | Spread avocado on each slice of bread. | In bowl, mix beans and corn (drained and rinsed if using canned ingredients), tomatoes, and onion. | Add mixture onto each slice of bread. | Top with salt, pepper, and lime juice."
58,Live Well Recipe: Sunrise English Muffin,https://www.aces.edu/blog/topics/by-ingredients/live-well-recipe-sunrise-english-muffin/,8,2.15,0.27,10,low,low,low,"vegetarian, gluten-free",apple | berries | yogurt,"[{""ingredient"": ""apple"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""berries"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""yogurt"", ""quantity"": null, ""unit"": null}]",Toast each English muffin half in toaster. | Spread each half with plain yogurt. | Sprinkle tops with cinnamon. | Top each half with strawberries and pineapple.
59,Live Well Recipe: Sweet Potato Hash,https://www.aces.edu/blog/topics/by-ingredients/live-well-recipe-sweet-potato-hash/,4,2.15,0.54,8,low,low,low,"vegetarian, dairy-free, gluten-free",bell pepper | oil | onion | pepper | potato | sweet potato,"[{""ingredient"": ""bell pepper"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""oil"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""onion"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""pepper"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""potato"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""sweet potato"", ""quantity"": null, ""unit"": null}]","Heat oil in a skillet over medium-high heat. | Add bell peppers and onions and cook until tender, about 5 minutes. | Add remaining ingredients and reduce heat to medium. | Cook for 20-25 minutes; stir often to prevent sticking. | Download the recipe here: Printable Sweet Potato Hash | Click here to view the USDA Nondiscrimination Statement."
